claim_id,claim_text,section,claim_type,evidence_artifact,metrics,dataset,seed_count,statistical_test,effect_size,confidence_interval,figure_table,evidence_strength,allowed_wording,forbidden_wording,status
C01,"T-FNO and U-Net form a statistically confirmed Pareto trade-off on the tutorial split","4.1","VERIFIED","phase1_gpu_decisive_tfno_unet_n11/benchmark_results.json","gwrmse; interface_temperature_rmse; interface_temperature_jump_mae; mass_conservation_mae","48x48 tutorial (Twall-103/106/100)","11","exact sign-flip + Holm-Bonferroni + bootstrap CI","T-FNO better by 0.50190 on int-T RMSE; U-Net better by 0.04494 on mass MAE","int-T RMSE CI [-0.74065, -0.28301]; mass MAE CI [+0.03853, +0.05122]","Fig 1 (Pareto); Sec 4.1","STRONG","T-FNO significantly better on interface-temperature fidelity; U-Net significantly better on mass conservation","T-FNO wins overall; U-Net wins overall","VERIFIED"
C02,"No overall GWRMSE winner was established on the tutorial split","4.1","VERIFIED","phase1_gpu_decisive_tfno_unet_n11/benchmark_results.json","gwrmse","48x48 tutorial","11","exact sign-flip","mean diff -0.05698","95% CI [-0.12314, +0.00946]","Sec 4.1","STRONG","No statistically significant GWRMSE winner was established (Holm p=1.0)","T-FNO better at GWRMSE; U-Net worse at GWRMSE","VERIFIED"
C03,"The tutorial ranking did not replicate under the independent cross-condition protocol","4.4 / Abstract","DESCRIPTIVE","multitraj96/report_summary.json","gwrmse; interface_temperature_rmse; interface_temperature_jump_mae; mass_conservation_mae","96x96 multi-trajectory (Twall 98, 110)","5","exact sign-flip (underpowered)","all diffs favor U-Net descriptively; min p=.0625; all Holm=1.0","GWRMSE CI [+0.04363, +0.14534]","Sec 4.4; Table 2","MODERATE (underpowered)","Descriptively consistent reversal; statistical power insufficient for confirmation","U-Net confirmed superior on cross-condition; ranking is established","VERIFIED"
C04,"Physical alpha bounding prevents out-of-range predictions under rollout","3.3 / 4.2","VERIFIED","Phase 1 unbounded vs bounded rollout results","rollout_alpha_gwrmse; alpha range","48x48 tutorial test (Twall-100)","N/A","construction guarantee + empirical range check","Unbounded range [-0.157, 1.408]; Bounded [0,1] by construction","N/A","Sec 3.3 / 4.2","STRONG","Physical bounding constrains alpha to [0,1] by construction","Bounded models necessarily perform better; bounding validates CHF detection","VERIFIED"
C05,"Single-seed rollout reversal after bounding did not replicate under multi-seed test","4.2","VERIFIED","Phase 2 dry-area n=11 results","dry_area_cumulative_error","48x48 tutorial test","11","exact sign-flip + Holm across 21 metrics","mean diff +0.00775; all Holm p > 0.3997","95% CI [-0.00393, +0.01829]","Sec 4.2","STRONG","The single-seed reversal did not replicate (Holm p=1.0 across full 21-metric family)","Physical bounding improved rollout tracking accuracy; bounding is architecturally beneficial","VERIFIED"
C06,"Divergence penalty achieves mass-conservation non-inferiority at lambda=0.30 (tutorial split)","4.3","VERIFIED","lambda_sensitivity_030_n11/benchmark_results.json","mass_conservation_mae","48x48 tutorial test","11","exact one-sided sign-flip (predeclared criterion)","hybrid mean 0.09373 vs U-Net 0.16586; diff -0.07212","95% CI [-0.07940, -0.06535]","Fig 3 (lambda sweep); Sec 4.3","STRONG","Divergence hybrid (lambda=0.30) achieves predeclared mass-conservation non-inferiority to U-Net (p=0.000488)","Divergence penalty recovers all performance gaps; lambda=0.30 is the optimal value","VERIFIED"
C07,"Divergence penalty conservation benefit transferred directionally to cross-condition test","4.4 / 5.2","DESCRIPTIVE","multitraj96/report_summary.json","mass_conservation_mae","96x96 multi-trajectory (Twall 98, 110)","5","descriptive (n=5 underpowered)","hybrid mass MAE 0.08669 vs U-Net 0.11560; diff -0.02891","95% CI [-0.03359, -0.02422] (descriptive only)","Sec 4.4","MODERATE","Divergence hybrid mass-conservation advantage transferred directionally; not yet confirmatory at cross-condition","Divergence penalty is confirmed superior on cross-condition; conservation benefit is established across conditions","STATISTICALLY_SUPPORTED as descriptive"
C08,"CHF dry-area proxy shows no sustained event in any available trajectory","4.5","VERIFIED","Phase 2 dry-area traces; multitraj96 CHF check","dry_area_sustained_event","Tutorial test (Twall-100); held-out (Twall-98, Twall-110)","N/A","Threshold crossing counting","No trajectory exceeds threshold for 3 consecutive frames","N/A","Fig 2 (dry-area traces); Sec 4.5","STRONG","No sustained dry-area precursor event detected in available trajectories","CHF events detected; CHF proxy validated; neural operators can predict CHF","VERIFIED"
C09,"EXPLORATORY: Stored 96x96 tutorial-split n=11 paired T-FNO-U-Net differences show opposite sign to 48x48 for 3 of 4 metrics","NEW (4.7)","EXPLORATORY","resolution_control_96x96/benchmark_results.json + resolution_control_analysis.json","gwrmse; interface_temperature_rmse; interface_temperature_jump_mae; mass_conservation_mae","96x96 tutorial trajectories (Twall-103/106/100)","11","exact sign-flip + Holm-Bonferroni (exploratory, not predeclared confirmatory test)","GWRMSE mean +0.10868 (Holm 0.00391); int-T RMSE +0.46219 (Holm 0.00977); jump MAE +0.21433 (Holm 0.00391); mass MAE +0.04906 (Holm 0.00391)","N/A (bootstrapped CI not yet computed for 96x96 n=11)","New Fig (resolution comparison); New Sec 4.7","EXPLORATORY — confounded","Stored 96x96 pipeline produces reversed paired differences relative to 48x48 pipeline; this is a descriptive observation across non-equivalent configurations","Resolution caused the ranking reversal; T-FNO is better at low resolution; U-Net is better at high resolution; architecture x resolution interaction is established","EXPLORATORY"
C10,"The tutorial and cross-condition protocols also differ in spatial resolution","3.1 / 5.1","DESCRIPTIVE","Resolution confound audit; experimental config","N/A","N/A","N/A","N/A","N/A","N/A","Sec 3.1 split-design figure; Sec 5.1","STRONG","The protocols differed in spatial resolution (48x48 vs 96x96) as well as trajectory conditions","The wall-temperature change caused the ranking reversal; resolution caused the ranking reversal","VERIFIED"
